channel_name,channel_id,subscribers,total_views,total_videos,playlist_id
Ken Jee,UCiT9RITQ9PW6BhXK0y2jaeg,254000,8708402,285,UUiT9RITQ9PW6BhXK0y2jaeg
Great Learning,UCObs0kLIrDjX2LLSybqNaEA,807000,62826895,1853,UUObs0kLIrDjX2LLSybqNaEA
Darshil Parmar,UCChmJrVa8kDg05JfCmxpLRw,102000,4194962,137,UUChmJrVa8kDg05JfCmxpLRw
luke barousse,UCaGe6wVIAymH17HKO8kjQsw,356,3992,9,UUaGe6wVIAymH17HKO8kjQsw
ArjanCodes,UCVhQ2NnY5Rskt6UjCUkJ_DA,206000,14071553,305,UUVhQ2NnY5Rskt6UjCUkJ_DA
Alex The Analyst,UC7cs8q-gJRlGwj4A8OmCmXg,633000,26791198,264,UU7cs8q-gJRlGwj4A8OmCmXg
Tech Classes,UCPvDKIsrjA_h3g5yZJwCIHA,29400,1899669,155,UUPvDKIsrjA_h3g5yZJwCIHA
Krish Naik,UCNU_lfiiWBdtULKOw6X0Dig,842000,85147365,1744,UUNU_lfiiWBdtULKOw6X0Dig
Shashank Kalanithi,UCvZnwzmc3m1Eush-Or8Z6DA,139000,6500329,152,UUvZnwzmc3m1Eush-Or8Z6DA
Dataiku,UCSMqVwPTmerMiCaL_zKRjBw,15100,9124710,675,UUSMqVwPTmerMiCaL_zKRjBw
Sundas Khalid,UCteRPiisgIoHtMgqHegpWAQ,181000,9105765,114,UUteRPiisgIoHtMgqHegpWAQ
Data Science Basics,UCHGw1uT1XmqaRm-6W15-KlQ,5710,287371,147,UUHGw1uT1XmqaRm-6W15-KlQ
Jon Krohn,UCup-fnSNRaByeuXOWqfnykw,18500,702066,143,UUup-fnSNRaByeuXOWqfnykw
Data Professor,UCV8e2g4IWQqK71bbzGDEI4Q,169000,5401232,323,UUV8e2g4IWQqK71bbzGDEI4Q
Jabrils,UCQALLeQPoZdZC4JNUboVEUg,496000,26822743,164,UUQALLeQPoZdZC4JNUboVEUg
DataCamp,UC79Gv3mYp6zKiSwYemEik9A,154000,22746900,1516,UU79Gv3mYp6zKiSwYemEik9A
techTFQ,UCnz-ZXXER4jOvuED5trXfEA,252000,13190849,100,UUnz-ZXXER4jOvuED5trXfEA
Data Science for High School,UCWzIuRTyadYzg1-6OCejRMg,32,1318,34,UUWzIuRTyadYzg1-6OCejRMg
Nicholas Renotte,UCHXa4OpASJEwrHrLeIzw7Yg,216000,13801218,303,UUHXa4OpASJEwrHrLeIzw7Yg
Learn with Lukas,UCw_LFe2pS8x3NyipGNJgeEA,27500,1462060,54,UUw_LFe2pS8x3NyipGNJgeEA
Thu Vu data analytics,UCJQJAI7IjbLcpsjWdSzYz0Q,174000,5818634,79,UUJQJAI7IjbLcpsjWdSzYz0Q
Data Science Dojo,UCzL_0nIe8B4-7ShhVPfJkgw,101000,5706352,453,UUzL_0nIe8B4-7ShhVPfJkgw
freeCodeCamp Español,UC1emV4A8liRs9p80CY8ElUQ,225000,7710050,79,UU1emV4A8liRs9p80CY8ElUQ
Data Nash,UCRqCK8izkO5xeVVtMKSHeRQ,18600,890542,50,UURqCK8izkO5xeVVtMKSHeRQ
Time Out With Tim,UCSATlCAUi7R0Ik-wsZb2gOA,6410,28438,9,UUSATlCAUi7R0Ik-wsZb2gOA
Keith Galli,UCq6XkhO5SZ66N04IcPbqNcw,208000,14217381,79,UUq6XkhO5SZ66N04IcPbqNcw
Joma in NYC,UCmMGlb7mGXYVthrXYSwlQhw,260000,14897599,20,UUmMGlb7mGXYVthrXYSwlQhw
Andy McDonald,UCn1O_4_ApzbYwrsUdRoMmOg,6490,292704,47,UUn1O_4_ApzbYwrsUdRoMmOg
365 Data Science,UCEBpSZhI1X8WaP-kY_2LLcg,302000,13342371,223,UUEBpSZhI1X8WaP-kY_2LLcg
Study with Tina,UCI8JpGrDmtggrryhml8kFGw,20900,290589,249,UUI8JpGrDmtggrryhml8kFGw
Data With Mo,UCDybamfye5An6p-j1t2YMsg,72700,2175337,65,UUDybamfye5An6p-j1t2YMsg
Rocketing Data Science,UCUIBKDoSSwehuDK4jk1CjFQ,1770,157494,88,UUUIBKDoSSwehuDK4jk1CjFQ
Data36 - Online Data Science Courses,UC9LfrPNcIyHspci0t2W4T_w,4810,204504,69,UU9LfrPNcIyHspci0t2W4T_w
StatQuest with Josh Starmer,UCtYLUTtgS3k1Fg4y5tAhLbw,1040000,56515535,265,UUtYLUTtgS3k1Fg4y5tAhLbw
Greg Hogg,UCJublDh2UsiIKsAE1553miw,55900,3444777,546,UUJublDh2UsiIKsAE1553miw
Tom Henry - data science with R,UCb5aI-GwJm3ZxlwtCsLu78Q,3760,191499,16,UUb5aI-GwJm3ZxlwtCsLu78Q
