video_id,channel_id,published_at,title,description,tags,category_id,duration,caption,licensed_content,default_language,content_rating,view_count,like_count,favourite_count,comment_count,extraction_date
LciDiBeBCyY,UCteRPiisgIoHtMgqHegpWAQ,2023-12-15T15:00:16Z,How to Build Custom ChatGPTs to Learn FAST 🤓,"Get your Excel data visualization template (free) 👉🏼 https://clickhubspot.com/3pk

OpenAI launched customer GPTs and it's changing the way how we use gen AI. In this video, I walk you through how to built your own custom GPT and go over Python Teacher & Data Analyst GPT to learn things fast. What are your thoughts on custom GPT?

$100k in AWS credits to jump-start you startup  👉🏼 https://rmbrnd.com/AWS-credits
Virtual product placement by Rembrand (https://www.rembrand.com)

GPT Marketplace: https://bit.ly/gpt-marketplace

WATCH THESE VIDEOS NEXT
My Self-Taught Data Science Journey: https://youtu.be/34r9OwjysDM
How I Would Learn Data Science in 2023: https://youtu.be/ZWgRvW8d_N4
Harsh Reality of Being a Data Scientist? https://youtu.be/pn0PUY0jwGQ

Try AI for coding & data analysis:
🏅 Julius AI for data analysis 👉🏼 https://julius.ai/?via=Sundas

~~~ CERTIFICATES & COURSES ~~~ 

Data Scientist 

📊 Data Science Certificate 👉🏼 https://imp.i384100.net/DataScienceCert
🏅 Data Science Bootcamp 👉🏼 https://bit.ly/data-scientist-bootcamp
🌍 Data Scientist Bootcamp  👉🏼 https://bit.ly/data-scientist-bootcamp

Data Analyst

🏅 Google Data Analytics Certificate 👉🏼 https://imp.i384100.net/GoogleDataCert
🏅🏅 Google Advanced Data Analytics Certificate 👉🏼 https://imp.i384100.net/advanced-data-analyst
⚡ IBM Data Analytics Certificate 👉🏼 https://imp.i384100.net/ibm-data-analyst
📊  Microsoft BI Data Analyst Certificate 👉🏼  https://imp.i384100.net/msft-dataanalyst
📑 Cyber Security Analyst 👉🏼 http://imp.i384100.net/cybersecurity
🐍 Meta Marketing Analytics Certificate 👉🏼 http://imp.i384100.net/meta-analytics

Data Engineer

📊  Meta Data Engineer Certificate 👉🏼 http://imp.i384100.net/meta-dataengineer
⚡ IBM Data Engineer 👉🏼 http://imp.i384100.net/data-engineer

Python 

🐍 Python for Everybody 👉🏼 https://imp.i384100.net/PythonSpec
⚡ Python for Data Science 👉🏼 https://bit.ly/python-data-science-ml
📑 Python for Data Visualization 👉🏼 https://bit.ly/python-data-viz
🏅 Python Pandas 👉🏼 https://bit.ly/python-pandas-data-analysis

SQL 

⚡ SQL Basics for Data Science 👉🏼 https://imp.i384100.net/SQLforDS
🏅 SQL Bootcamp 👉🏼 https://bit.ly/sql-bootcamps

Machine Learning

🏅 Machine Learning Bootcamp 👉🏼 https://bit.ly/machine-learning-atoz
⚙️ Machine Learning Specialization 👉🏼 https://imp.i384100.net/ML
⚡ Deep Learning 👉🏼 https://imp.i384100.net/deeplearning
⚙️ AI Engineer Certificate https://imp.i384100.net/AI

Statistics 

⚙️ Statistics for Data Analysis  👉🏼 https://bit.ly/statistics-data-scienc
📑 Intro to Statistics 👉🏼 https://imp.i384100.net/Stats

EXCEL 

🎨 Excel for Data Analysis 👉🏼 https://imp.i384100.net/Excel
✍️ IBM Data Analysis in Excel & R Certificate 👉🏼 https://bit.ly/data-scientist-bootcamp

🌍 ALL COURSES 👉🏼 https://kit.co/SundasKhalid
🏅 Practice Coding Interviews 👉🏼 https://www.stratascratch.com/?via=sundas

~~~~~~~~~~~~~~~~~~~~~~~~~~~ 

MY FAVORITE TOOLS
📚 Read Books FAST on Shortform 👉🏼 https://www.shortform.com/sundas
✍️ Coursera Plus 7 day free trial 👉🏼 https://imp.i384100.net/CourseraPlus 
🏅 Practice Coding Interviews 👉🏼 https://www.stratascratch.com/?via=sundas
🏅 Julius AI for data analysis 👉🏼 https://julius.ai/?via=Sundas
✍️ Get 20% HubSpot Discount 👉🏼 https://hubspot.sjv.io/c/3311887/1863476/12893

SUBSCRIBE FOR MORE VIDEOS
https://www.youtube.com/sundaskhalid?sub_confirmation=1

0:00 What is a GPT?
0:30 Data Analyst Consultant GPT 
5:04 data visualization in Excel (HubSpot)
5:59 Python Teacher GPT 
7:53 How to create a custom GPT?
8:45 Data Science GPT 
11:33 Access GPT Marketplace 

BINGE THESE PLAYLISTS NEXT 
Starting in Data Science: https://youtube.com/playlist?list=PLNvMRDyXHRnfRw-wJa4BSUdZjtnBEXkGH
Learn SQL: https://www.youtube.com/playlist?list=PLNvMRDyXHRne8qEj3Uipdt4eqkmN1z7bG
The Tech Lounge: https://www.youtube.com/playlist?list=PLNvMRDyXHRneiXWLSPJX2ZhMp09bpSJkV

ABOUT ME
I'm Sundas. I'm a self-taught data scientist from a non-tech background, currently at a FAANG company. I have been in the industry for +10 years spread across two big tech companies. On this channel, I share tips for people interested in entering data science with the goal to democratize knowledge and make complicated topics digestible for everyone. Learn more at https://sundaskhalid.com All opinions are mine! 

PS. Some of the links included are affiliate links and help me keep this channel going. Thanks for the support. 

Business inquiries: info@careerpy.com

#chatgpt #python #dataanalyst","['data science', 'data scientist', 'self-taugh data scientist', 'big tech', 'Machine Learning', 'Python', 'data science projects', 'data science tutorials', 'data science jobs', 'AI', 'big data', 'data analyst', 'data analytics', 'business analyst', 'sundas khalid', 'women of color in tech', 'people of color in tech', 'inspiring stories', 'data science at google', 'chatgpt', 'python roadmap 2023', 'python for data science', 'pandas', 'numpy', 'learn python with chatgpt', 'chatgpt hacking', 'coding with chatgpt', 'bard', 'custom gpt']",28,PT12M,true,True,en-US,{},3537,194,0,17,2023-12-19 23:00:41
56i1uBshzmA,UCJublDh2UsiIKsAE1553miw,2023-12-15T13:00:08Z,My Favorite Stack Question! | Daily Temperatures - Leetcode 739,"leetcode, coding interview question, data structures, data structures and algorithms, faang","['leetcode', 'coding interview question', 'data structures', 'data structures and algorithms', 'backtracking', 'permutations']",27,PT58S,false,True,en,{},25664,1054,0,16,2023-12-19 23:00:41
OPyoXx0yA0I,UCVhQ2NnY5Rskt6UjCUkJ_DA,2023-12-15T16:00:16Z,Requests vs Httpx vs Aiohttp | Which One to Pick?,"Exploring API communication in your app, considering requests vs httpx? Or maybe even aiohttp?! In this video, I’ll share with you my preferred choice and why you should consider it as well.

Git repo: https://git.arjan.codes/2023/httpx

👷 Join the FREE Code Diagnosis Workshop to help you review code more effectively using my 3-Factor Diagnosis Framework: https://www.arjancodes.com/diagnosis

💻 ArjanCodes Blog: https://www.arjancodes.com/blog

✍🏻 Take a quiz on this topic: https://www.learntail.com/quiz/dxgeth

Try Learntail for FREE ➡️ https://www.learntail.com/

🎓 Courses:
The Software Designer Mindset: https://www.arjancodes.com/mindset
The Software Architect Mindset: Pre-register now! https://www.arjancodes.com/architect
Next Level Python: Become a Python Expert: https://www.arjancodes.com/next-level-python
The 30-Day Design Challenge: https://www.arjancodes.com/30ddc

🛒 GEAR & RECOMMENDED BOOKS: https://kit.co/arjancodes.

👍 If you enjoyed this content, give this video a like. If you want to watch more of my upcoming videos, consider subscribing to my channel!

Social channels:
💬 Discord: https://discord.arjan.codes
🐦Twitter: https://twitter.com/arjancodes
🌍LinkedIn: https://www.linkedin.com/company/arjancodes
🕵Facebook: https://www.facebook.com/arjancodes
📱Instagram: https://www.instagram.com/arjancodes
♪ Tiktok: https://www.tiktok.com/@arjancodes

👀 Code reviewers:
- Yoriz
- Ryan Laursen
- Dale Hagglund

🎥 Video edited by Mark Bacskai: https://www.instagram.com/bacskaimark

🔖 Chapters:
0:00 Intro
0:45 Popularity
2:05 Requests
6:43 Aiohttp
8:40 Httpx
10:26 Concurrent requests
13:33 Licenses
14:49 Outro

#arjancodes #softwaredesign #python

DISCLAIMER - The links in this description might be affiliate links. If you purchase a product or service through one of those links, I may receive a small commission. There is no additional charge to you. Thanks for supporting my channel so I can continue to provide you with free content each week!","['requests vs httpx', 'httpx', 'python requests', 'python requests api', 'aiohttp', 'aiohttp vs httpx', 'requests aiohttp httpx', 'http', 'python http', 'learn python', 'python tutorial', 'http requests', 'http requests python', 'httpx python', 'http requests tutorial', 'httpx async', 'httpx vs requests', 'httpx vs aiohttp', 'aiohttp api', 'aiohttp request', 'python async tutorial', 'python async requests', 'asynchronous programming python', 'asynchronous programming', 'async requests', 'python async', 'python asyncio aiohttp']",27,PT15M11S,true,True,en-US,{},16607,1115,0,84,2023-12-19 23:00:41
WjhKxXCwFZA,UCzL_0nIe8B4-7ShhVPfJkgw,2023-12-15T18:47:11Z,Data Analytics and Generative AI,"Generative AI is a rapidly evolving field with the potential to revolutionize the way we do data analytics. In this hands-on session on data analytics and generative AI, you will learn:
1. How generative AI can be used to streamline analytics tasks using Python and Power BI
2. The role that generative AI is playing in the analytics workforce and how it is changing the way we work
3. Real-world examples, use cases, and practical insights

Table of Contents:
0:00 Introduction
4:50 What is Generative AI
9:42 Generative Language Models
11:04 Generative Image Models
13:30 Generative AI Landscape
19:06 Role of Generative AI in the Workforce
20:00 Understanding Data Analytics
23:10 Generative AI in Analytics
43:00 QnA

Here's more to explore in Large Language Models:
💼 Learn to build LLM-powered apps in just 40 hours with our Large Language Models bootcamp: https://hubs.la/Q01ZZGL-0 

Dive deeper into Generative AI and Large Language Models with this playlist: https://www.youtube.com/playlist?list=PL8eNk_zTBST9QRoBroh6KH7DKYB8JVKGA

#generativeai #datanalytics","['data analytics', 'generative ai', 'large langauge models', 'llms', 'language models']",27,PT55M18S,true,False,en-US,{},166,6,0,0,2023-12-19 23:00:41
NI1Psgs1tyI,UCzL_0nIe8B4-7ShhVPfJkgw,2023-12-15T16:35:30Z,Enterprise LLM Applications - Not Just a Technological Challenge,"Generative Al and Large Language Models have taken the world by storm. Applications like Bard, ChatGPT, Midjourney, and Dall.E crossed the proverbial chasm of technology adoption lifecycle; some applications like content generation and summarization have entered the mainstream. A large number of enterprise use cases of LLM applications still remain challenging. There are inherent challenges for a lot of tasks that require a deeper understanding of trade-offs like latency, accuracy, and consistency of responses. Any serious application of LLMs requires an understanding of nuances in how LLMs work, embeddings, vector databases, and retrieval.

This introductory tutorial will introduce the audience to prevalent approaches to building a custom large language model application. We will present a canonical architecture for an LLM application and various available commercial and open-source tools and technologies available to build these applications.

No prior background in Generative AI or LLMs is necessary to attend this talk.

*Please note: This is an in-person event taking place in Redmond, Washington that will be live-streamed.",[],24,P0D,false,False,en-US,{},0,0,0,0,2023-12-19 23:00:41
H8nm5a99_DA,UCObs0kLIrDjX2LLSybqNaEA,2023-12-15T13:30:06Z,From India to US: Exploring Masters and Job Opportunities,"Welcome to the sixth episode of the Study Abroad Podcast by Great Learning, hosted by Shweta Gupta. This episode follows the journey of Ateiv Jain, an expert in network infrastructures, who brings insights from his journey as a student and to the US and his enriching experience as a STEM graduate.


Listen in to know more about his experience of studying overseas, exposure to amazing opportunities while pursuing Masters at San Jose State University and tips on how to make the most of this experience as an immigrant student in the US

Check out our StudyAbroad programs for more details: https://bit.ly/3sol0I8

Great Learning is a global ed-tech company offering industry-relevant certificate and degree programs. This includes study abroad MS & MBA programs in collaboration with top universities in the US. Great Learning is on a mission to enable transformative learning and career success in the digital economy and has impacted 9 million+ learners from over 170 countries.

Whether you're already on your study abroad journey or just considering it, this episode will provide invaluable insights to help you make informed decisions about your academic future. Don't miss out on the chance to open doors to a world of opportunities. Tune in and subscribe to ""The Study Abroad Podcast"" to stay informed about the latest trends in international education.

Your dream of pursuing an MS or MBA in the US is just a listen away!","['Great Learning', 'Data Analytics', 'Data Science', 'Big Data', 'Machine learning', 'Artificial Intelligence', 'Great Learning Academy', 'free courses']",27,PT37M32S,false,False,,{},389,8,0,1,2023-12-19 23:00:41
0wIDVTUWU3c,UCJublDh2UsiIKsAE1553miw,2023-12-16T13:00:02Z,Facebook Asked This Coding Question 50 TIMES!!! | 3Sum - Leetcode 15,"leetcode, coding interview question, data structures, data structures and algorithms, faang","['leetcode', 'coding interview question', 'data structures', 'data structures and algorithms', 'backtracking', 'permutations']",27,PT58S,false,True,en,{},10205,582,0,12,2023-12-19 23:00:41
3QvcSvWb9es,UCJublDh2UsiIKsAE1553miw,2023-12-16T01:00:01Z,I Couldn't Get This Coding Question - Can You? | Find Minimum in Rotated Sorted Array - Leetcode 153,"leetcode, coding interview question, data structures, data structures and algorithms, faang","['leetcode', 'coding interview question', 'data structures', 'data structures and algorithms', 'backtracking', 'permutations']",27,PT1M,false,True,en,{},13505,667,0,35,2023-12-19 23:00:41
tjo9NJBmExM,UCzL_0nIe8B4-7ShhVPfJkgw,2023-12-15T23:51:29Z,Vector Embeddings for Semantic Search,"In today's information-rich world, the ability to retrieve relevant information effectively is essential. This lecture explores the transformative power of vector embeddings, revolutionizing information retrieval by capturing semantic meaning and context. 

We'll delve into:
- The fundamental concepts of vector embeddings and their role in semantic search
- Techniques for creating meaningful vector representations of text and data
- Algorithmic approaches for efficient vector similarity search and retrieval
- Practical strategies for applying vector embeddings in information retrieval systems

Key takeaways:
- Understand the theoretical underpinnings of vector embeddings and their significance in semantic search.
- Learn about different embedding techniques for transforming text and data into vector representations.
- Grasp the principles of vector similarity search algorithms and their performance considerations.
- Develop strategies for incorporating vector embeddings to enhance relevance and precision in information retrieval systems.",[],24,P0D,false,False,en-US,{},0,3,0,0,2023-12-19 23:00:41
9Oh-hDT_VaY,UCNU_lfiiWBdtULKOw6X0Dig,2023-12-17T12:32:34Z,Power Of Open Source Contribution-50+ End To End Data Science Projects Contributed By You All,"Start Contributing in Open Source Projects
The-Grand-Complete-Data-Science-Materials
https://github.com/krishnaik06/The-Grand-Complete-Data-Science-Materials
------------------------------------------------------------------------------------------------------
Complete Langchain Playlist: 
https://www.youtube.com/watch?v=4O1rs7mrNDo&list=PLZoTAELRMXVORE4VF7WQ_fAl0L1Gljtar
--------------------------------------------------------------------------------------------------------
Support me by joining membership so that I can upload these kind of videos
https://www.youtube.com/channel/UCNU_lfiiWBdtULKOw6X0Dig/join
------------------------------------------------------------------------------------------------------------------------------
►Data Science Projects: 
https://www.youtube.com/watch?v=S_F_c9e2bz4&list=PLZoTAELRMXVPS-dOaVbAux22vzqdgoGhG&pp=iAQB

►Learn In One Tutorials

Statistics in 6 hours: https://www.youtube.com/watch?v=LZzq1zSL1bs&t=9522s&pp=ygUVa3Jpc2ggbmFpayBzdGF0aXN0aWNz

Machine Learning In 6 Hours: https://www.youtube.com/watch?v=JxgmHe2NyeY&t=4733s&pp=ygUba3Jpc2ggbmFpayBtYWNoaW5lIGxlYXJuaW5n

Deep Learning 5 hours : https://www.youtube.com/watch?v=d2kxUVwWWwU&t=1210s&pp=ygUYa3Jpc2ggbmFpayBkZWVwIGxlYXJuaW5n

►Learn In a Week Playlist

Statistics:https://www.youtube.com/watch?v=11unm2hmvOQ&list=PLZoTAELRMXVMgtxAboeAx-D9qbnY94Yay

Machine Learning : https://www.youtube.com/watch?v=z8sxaUw_f-M&list=PLZoTAELRMXVPjaAzURB77Kz0YXxj65tYz

Deep Learning:https://www.youtube.com/watch?v=8arGWdq_KL0&list=PLZoTAELRMXVPiyueAqA_eQnsycC_DSBns

NLP : https://www.youtube.com/watch?v=w3coRFpyddQ&list=PLZoTAELRMXVNNrHSKv36Lr3_156yCo6Nn

►Detailed Playlist:
Python Detailed Playlist: https://www.youtube.com/watch?v=bPrmA1SEN2k&list=PLZoTAELRMXVNUL99R4bDlVYsncUNvwUBB&pp=gAQB
Python playlit in Hindi: https://www.youtube.com/watch?v=MJd9d9Mpxg0&list=PLTDARY42LDV4qqiJd1Z1tShm3mp9-rP4v
Stats For Data Science In Hindi : https://www.youtube.com/watch?v=7y3XckjaVOw&list=PLTDARY42LDV6YHSRo669_uDDGmUEmQnDJ&pp=gAQB
Machine Learning In English : https://www.youtube.com/watch?v=bPrmA1SEN2k&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe
Machine Learning In Hindi : https://www.youtube.com/watch?v=7uwa9aPbBRU&list=PLTDARY42LDV7WGmlzZtY-w9pemyPrKNUZ&pp=gAQB
Complete Deep Learning: https://www.youtube.com/watch?v=YFNKnUhm_-s&list=PLZoTAELRMXVPGU70ZGsckrMdr0FteeRUi","['yt:cc=on', 'end to end ml projects', 'end to edn langchain projects', 'end to end deep elarning projects', 'end to end nlp projects', 'end to end data science projects', 'machine learnign tutorials', 'deep learning tutorials']",27,PT6M6S,false,True,,{},18580,829,0,35,2023-12-19 23:00:41
